# Darya core lexicon - B2 batch (AI scripted)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
2501|اقتصاد کلان|iqtisād-i kalān|noun|formal|macroeconomics|اقتصاد کلان این کشور در حال رشد است.|iqtisād-i kalān-i īn kishwar dar hāl-i rushd ast.|The macroeconomics of this country is growing.|Abstract Concepts|
2502|اقتصاد خرد|iqtisād-i khurd|noun|formal|microeconomics|مطالعه اقتصاد خرد برای تاجران ضروری است.|mutāla'a-i iqtisād-i khurd barā-yi tājirān zarūrī ast.|Studying microeconomics is essential for businesspeople.|Abstract Concepts|
2503|بورس اوراق بهادار|būrs-i awrāq-i bahādār|noun|formal|stock exchange|ارزش سهام در بورس اوراق بهادار کاهش یافت.|arzish-i sahām dar būrs-i awrāq-i bahādār kāhish yāft.|Stock values in the stock exchange fell.|Abstract Concepts|
2504|سهامدار|sahāmdār|noun|formal|shareholder|سهامداران در جلسه سالانه شرکت کردند.|sahāmdārān dar jalasa-i sālāna shirkat kardand.|The shareholders attended the annual meeting.|Abstract Concepts|
2505|سود سهام|sūd-i sahām|noun|formal|dividend|شرکت سود سهام را در پایان سال توزیع می‌کند.|shirkat sūd-i sahām rā dar pāyān-i sāl tawzī' mēkunad.|The company distributes dividends at the end of the year.|Abstract Concepts|
2506|رکود اقتصادی|rukūd-i iqtisādī|noun|formal|economic recession|جهان در آستانه یک رکود اقتصادی قرار دارد.|jahān dar āstāna-i yak rukūd-i iqtisādī qarār dārad.|The world is on the verge of an economic recession.|Abstract Concepts|
2507|رونق|rawnaq|noun|formal|boom/prosperity|بازار مسکن دوباره رونق گرفته است.|bāzār-i maskan dūbāra rawnaq girifta ast.|The housing market has boomed again.|Abstract Concepts|
2508|کاهش تورم|kāhish-i tawarrum|noun|formal|deflation|بانک مرکزی برای جلوگیری از کاهش تورم مداخله کرد.|bānk-i markazī barā-yi jilawgīrī az kāhish-i tawarrum mudākhila kard.|The central bank intervened to prevent deflation.|Abstract Concepts|
2509|نقدینگی|naqdīnagī|noun|formal|liquidity|بحران نقدینگی باعث ورشکستگی بانک شد.|buhrān-i naqdīnagī bā'is-i warshikastagī-yi bānk shud.|The liquidity crisis caused the bank's bankruptcy.|Abstract Concepts|
2510|بودجه انقباضی|būdja-i inqibāzī|noun|formal|austerity budget|دولت مجبور به تصویب بودجه انقباضی شد.|dawlat majbūr ba taswīb-i būdja-i inqibāzī shud.|The government was forced to pass an austerity budget.|Abstract Concepts|
2511|کسری بودجه|kasrī-yi būdja|noun|formal|budget deficit|کسری بودجه دولت امسال بی‌سابقه بود.|kasrī-yi būdja-i dawlat imsāl bē-sābiqa būd.|The government's budget deficit was unprecedented this year.|Abstract Concepts|
2512|مازاد تجاری|māzād-i tijārī|noun|formal|trade surplus|صادرات بیشتر باعث ایجاد مازاد تجاری شد.|sādirāt-i bēshtar bā'is-i ījād-i māzād-i tijārī shud.|Higher exports led to a trade surplus.|Work & Business|
2513|تراز تجاری|tarāz-i tijārī|noun|formal|trade balance|تراز تجاری کشور در وضعیت نامطلوبی است.|tarāz-i tijārī-yi kishwar dar waz'iyat-i nā-matlūbī ast.|The country's trade balance is in an unfavorable condition.|Work & Business|
2514|تعرفه گمرکی|ta'rifa-i gumrukī|noun|formal|customs tariff|افزایش تعرفه گمرکی بر واردات خودرو اعمال شد.|afzāyish-i ta'rifa-i gumrukī bar wāridāt-i khudraw a'māl shud.|An increase in customs tariff was applied to car imports.|Abstract Concepts|
2515|قاچاق کالا|qāchāq-i kālā|noun|formal|smuggling of goods|مبارزه با قاچاق کالا برای اقتصاد مهم است.|mubāraza bā qāchāq-i kālā barā-yi iqtisād muhimm ast.|Fighting goods smuggling is important for the economy.|Abstract Concepts|
2516|حواله|hawāla|noun|formal|remittance/transfer|کارگران مهاجر پول را از طریق حواله می‌فرستند.|kārgarān-i muhājir pūl rā az tarīq-i hawāla mēfiristand.|Migrant workers send money via remittance.|Abstract Concepts|
2517|نرخ بهره|nirkh-i bahra|noun|formal|interest rate|بانک مرکزی نرخ بهره را کاهش داد.|bānk-i markazī nirkh-i bahra rā kāhish dād.|The central bank lowered the interest rate.|Abstract Concepts|
2518|تسهیلات بانکی|tashīlāt-i bānkī|noun|formal|bank facilities/loans|دولت تسهیلات بانکی جدیدی برای کشاورزان در نظر گرفت.|dawlat tashīlāt-i bānkī-yi jadīdī barā-yi kishāwarzān dar nazar girift.|The government considered new bank facilities for farmers.|Money & Finance|
2519|وام مسکن|wām-i maskan|noun|formal|mortgage|گرفتن وام مسکن در شرایط فعلی دشوار است.|giriftan-i wām-i maskan dar sharāyit-i fi'lī dushwār ast.|Getting a mortgage is difficult under current conditions.|Abstract Concepts|
2520|وثیقه|wasīqa|noun|formal|collateral|برای گرفتن وام باید سند خانه را به عنوان وثیقه بگذارید.|barā-yi giriftan-i wām bāyad sanad-i khāna rā ba 'unwān-i wasīqa buguzārēd.|To get a loan, you must put the house deed as collateral.|Abstract Concepts|
